SCPI,ActivImmo,Atream Hôtels,Buroboutic,Cap Foncières et Territoires,Cap'HebergImmo,CM Pierre 1,Coeur d'Europe,Coeur de Régions,Coeur de Ville,Corum Eurion,Corum Origin,Corum XL,Cristal Life,Cristal Rente,Edissimo,Efimmo 1,Elialys,Epargne Foncière,Epargne Pierre,Epargne Pierre Europe,Epsilon 360,Europe Invest,Eurovalys,Fair Invest,Ficommerce,Foncière des Praticiens,Genepierre,Grand Paris Résidentiel,Immorente,Interpierre Europe Centrale,Interpierre France,Iroko Zen,Kyaneos Pierre,LF Avenir Santé,LF EuropImmo,LF Grand Paris Patrimoine,LF Opportunité Immo,Logipierre 3,LOG IN,Néo,Novapierre 1,Novapierre Allemagne,Novapierre Allemagne 2,Novapierre Résidentiel,Optimale,Patrimmo Commerce,Patrimmo Croissance,PF Grand Paris,PF Hospitalité Europe,PFO,PFO2,Pierre Capitale,Pierre Rendement,Pierval Santé,Placement Pierre,Primofamily,Primopierre,Primovie,Transitions Europe,Urban Coeur Commerce,Remake Live,Rivoli Avenir Patrimoine,SelectInvest 1,Selectipierre 2,Vendôme Régions,Notapierre,Immorente 2,Altixia Cadence XII,Altixia Commerces
Frais Souscription,"10,60%","10,00%","10,00%","10,00%","10,00%","8,00%","12,00%","12,00%","12,00%","12,00%","11,96%","12,00%","12,00%","10,00%","7,99%","10,00%","11,40%","7,50%","10,00%","12,00%","5,00%","9,00%","11,40%","10,00%","10,00%","8,00%","8,00%","12,00%","10,00%","10,00%","10,00%","0,00%","11,00%","9,00%","8,00%","8,00%","9,00%","10,00%","10,00%","0,00%","8,00%","10,00%","10,00%","9,95%","10,00%","9,00%","11,76%","9,50%","8,50%","9,50%","8,50%","10,00%","9,00%","10,51%","9,00%","9,00%","10,62%","9,00%","10,00%","12,00%","0,00%","7,99%","6,25%","9,93%","10,00%","8,00%",,,
3 ans,"86,50%",X,"89,50%","89,00%","88,50%","89,50%","87,50%","86,50%","87,50%","87,00%","85,00%","86,00%","87,50%","87,50%",X,X,X,"89,00%","87,00%","89,50%","87,50%",X,X,"87,50%","88,50%","88,00%",X,"91,50%",X,"87,50%","87,00%","87,00%","87,00%",X,"90,50%","88,50%","87,00%","89,50%","88,00%","87,50%","89,00%","88,50%","89,50%",X,"87,50%","89,00%",X,"89,50%","90,50%","88,00%","89,00%","89,00%","89,00%","87,50%","88,50%",X,X,"89,00%",X,"88,50%",X,X,"89,50%","91,50%","84,00%",X,X,"86,50%","87,50%"
4 ans,"82,00%",X,"86,00%","85,00%","85,00%","86,50%","85,00%","82,50%","84,00%","84,00%","82,00%","83,00%","85,00%","85,00%",X,X,X,"85,50%","83,00%","86,00%","84,00%",X,X,"84,00%","85,00%","84,00%",X,"88,50%",X,"84,00%","83,00%","83,00%","83,00%",X,"87,50%","85,50%","83,00%","86,50%","84,50%","84,00%","85,00%","85,00%","86,00%",X,"84,00%","85,00%",X,"86,50%","87,50%","85,00%","86,00%","85,50%","85,50%","84,00%","85,00%",X,X,"85,00%",X,"84,50%",X,X,"86,50%","88,50%","81,00%",X,X,"82,50%","83,50%"
5 ans,"78,00%","81,50%","82,50%","80,00%","81,50%","83,50%","80,00%","77,00%","80,00%","80,00%","78,00%","79,00%","80,00%","80,00%",X,"80,00%","82,00%","82,50%","79,00%","83,00%","80,00%","82,00%","82,00%","80,00%","81,50%","80,50%",X,"86,00%","81,50%","80,00%","79,00%","79,00%","79,00%",X,"84,50%","82,00%","79,00%","83,50%","81,00%","80,00%","82,00%","80,00%","83,00%",X,"80,00%","82,00%",X,"82,00%","83,50%","79,50%","81,50%","82,00%","82,50%","80,00%","81,50%",X,"82,00%","82,00%","80,00%","81,50%","80,00%","80,00%","83,50%","86,00%","77,00%",X,"84,75%","78,50%","79,50%"
6 ans,"75,00%","78,50%","80,50%","78,00%","78,50%","81,50%","78,00%","74,00%","76,50%","78,00%","76,00%","77,00%","78,00%","78,00%",X,"77,00%",X,"80,00%","76,00%","81,00%","76,50%","79,00%",X,"76,50%","79,50%","78,00%",X,"84,00%","78,50%","76,50%","76,00%","75,50%","76,00%",X,"81,50%","79,50%","76,00%","81,50%","78,00%","77,00%","80,00%","78,00%","81,00%",X,"76,50%","80,00%",X,"79,00%","81,00%","76,00%","78,00%","79,50%","79,50%","76,50%","78,50%",X,X,"80,00%","77,00%","79,50%","77,00%",X,"81,50%","84,00%","74,00%",X,"82,25%","75,50%","76,50%"
7 ans,"72,00%","75,50%","77,00%","74,00%","76,00%","78,50%","75,00%","72,00%","73,00%","76,00%","73,00%","74,00%","75,00%","75,00%",X,"74,00%","77,00%","77,00%","73,00%","78,00%","74,00%","77,00%","77,00%","73,00%","76,00%","75,50%",X,"82,00%","75,50%","74,00%","73,00%","72,50%","73,00%",X,"79,50%","76,50%","73,00%","78,50%","75,50%","74,00%","77,00%","75,00%","78,00%",X,"74,00%","77,00%",X,"76,00%","78,00%","73,00%","75,50%","76,50%","76,50%","74,00%","75,50%",X,"77,00%","77,00%","74,00%","76,50%","74,00%",X,"78,50%","82,00%","71,00%",X,"80,00%","72,50%","73,50%"
8 ans,"70,00%","73,50%","75,50%","73,00%","73,50%","76,00%","72,50%","69,00%","71,50%","75,00%","71,00%","72,00%","72,50%","72,50%",X,"71,00%",X,"75,00%","71,00%","76,00%","71,50%","74,75%",X,"71,50%","74,50%","73,00%",X,"80,00%","73,00%","71,50%","71,00%","70,00%","71,00%",X,"77,50%","74,50%","71,00%","76,50%","73,00%","72,00%","75,00%","73,00%","76,00%",X,"71,50%","75,00%",X,"73,00%","75,50%","70,00%","72,50%","74,50%","74,00%","71,50%","72,50%",X,X,"75,00%","71,00%","74,50%","72,00%",X,"76,00%","80,00%","68,00%",X,"77,75%","70,50%","71,50%"
9 ans,"67,00%","71,00%","73,50%","70,50%","71,00%","74,00%","70,00%","66,00%","70,00%","73,00%","69,00%","70,00%","70,00%","70,00%",X,"68,50%",X,"72,50%","68,00%","73,50%","70,00%","72,50%",X,"70,00%","72,50%","70,50%",X,"78,00%","70,50%","70,00%","68,00%","68,00%","68,00%",X,"75,50%","72,50%","68,00%","75,50%","70,50%","69,00%","72,50%","69,50%","74,50%",X,"70,00%","72,50%",X,"70,50%","73,50%","67,50%","70,00%","72,00%","72,00%","70,00%","70,00%",X,X,"72,50%","69,00%","72,00%","69,00%",X,"74,00%","78,00%","66,00%",X,"75,75%","67,50%","68,50%"
10 ans,"65,00%","69,00%","69,50%","67,00%","69,00%","72,00%","68,00%","63,50%","67,00%","71,00%","67,00%","68,00%","68,00%","68,00%","67,00%","66,50%","70,00%","71,00%","66,00%","72,00%","67,00%","70,50%","70,00%","67,00%","68,50%","68,00%",X,"77,00%","68,00%","67,00%","66,00%","65,50%","66,00%",X,"74,00%","70,50%","66,00%","73,50%","68,00%","67,00%","70,00%","66,50%","72,00%",X,"67,00%","70,00%",X,"68,00%","71,00%","65,00%","67,50%","70,00%","70,00%","67,00%","68,00%","70,00%","70,00%","70,00%","67,00%","69,50%","67,00%","67,00%","72,00%","77,00%","64,00%",X,"73,75%","65,50%","66,50%"
11 ans,"63,50%",X,"69,00%","66,50%","67,00%","71,00%","66,00%","62,50%","65,50%","69,00%","65,00%","66,00%","66,00%","66,00%",X,"64,50%",X,"69,50%","65,00%","70,50%","65,50%","68,50%",X,"65,50%",X,"66,50%",X,"75,50%","66,50%","65,50%","65,00%","64,00%","65,00%",X,"73,50%","69,50%","65,00%","71,50%","66,50%","66,50%","68,50%","66,00%","70,50%",X,"65,50%","68,50%",X,"67,50%","70,50%","64,50%","67,00%","68,50%","68,00%","65,50%","65,50%",X,X,"68,50%","65,00%","68,00%","66,50%",X,"71,00%","75,50%","63,00%",X,"72,00%","64,50%","65,50%"
12 ans,"62,50%","66,00%","67,50%","65,00%","64,50%","70,00%","64,50%","61,50%","64,00%","67,00%","63,00%","64,00%","64,50%","64,50%",X,"63,00%",X,"68,00%","64,00%","69,00%","64,00%","66,50%",X,"64,00%","66,50%","65,00%",X,"74,00%","65,00%","64,00%","64,00%","63,00%","64,00%",X,"72,50%","68,50%","64,00%","69,50%","65,00%","65,50%","67,00%","65,00%","69,00%",X,"64,00%","67,00%",X,"65,50%","69,00%","62,00%","65,00%","67,50%","66,00%","64,00%","65,00%",X,X,"67,00%","63,00%","66,50%","65,50%",X,"70,00%","74,00%","61,00%",X,"70,25%","63,50%","64,50%"
13 ans,"60,50%",X,"66,00%","63,50%","64,00%","69,00%","64,00%","60,50%","63,00%","66,00%","62,00%","63,00%","64,00%","64,00%",X,"61,50%",X,"67,00%","63,00%","68,50%","63,00%","65,00%",X,"63,00%","65,00%","63,00%",X,"73,00%","63,00%","63,00%","63,00%","62,00%","63,00%",X,"70,50%","67,50%","63,00%","68,50%","63,50%","63,50%","65,00%","64,50%","68,50%",X,"63,00%","65,00%",X,"64,00%","67,50%","60,50%","63,00%","66,50%","64,50%","63,00%","62,50%",X,X,"65,00%","61,00%","64,50%","63,50%",X,"69,00%","73,00%","60,00%",X,"68,75%","61,50%","63,50%"
14 ans,"59,00%",X,"65,00%","62,00%","63,00%","68,50%","63,00%","59,50%","62,00%","65,00%","61,00%","62,00%","63,00%","63,00%",X,"60,00%",X,"66,00%","62,00%","67,50%","62,00%","63,00%",X,"62,00%","64,00%","61,00%",X,"72,00%","61,50%","62,00%","62,00%","61,00%","62,00%",X,"69,50%","66,50%","62,00%","67,50%","62,00%","62,50%","63,00%","64,00%","67,50%",X,"62,00%","63,00%",X,"62,00%","66,00%","59,00%","61,50%","65,50%","63,00%","62,00%","61,00%",X,X,"63,00%","60,00%","62,50%","62,50%",X,"68,50%","72,00%","59,00%",X,"67,25%","60,50%","62,50%"
15 ans,"58,00%","63,00%","64,00%","61,00%","61,50%","68,00%","61,50%","58,00%","61,00%","64,00%","60,00%","61,00%","61,50%","61,50%",X,"59,00%","61,00%","65,00%","60,00%","66,50%","61,00%","62,00%","61,00%","61,00%","63,00%","59,00%",X,"71,00%","60,00%","61,00%","60,00%","60,00%","60,00%",X,"68,50%","65,50%","60,00%","66,50%","61,00%","61,50%","60,00%","63,00%","66,50%",X,"61,00%","60,00%",X,"60,50%","64,50%","57,00%","60,00%","64,50%","62,00%","61,00%","60,50%",X,"60,00%","60,00%","58,00%","59,50%","61,50%",X,"68,00%","71,00%","58,00%",X,"66,00%","59,50%","61,50%"
16 ans,"57,00%",X,"63,00%","60,00%","61,00%","67,00%","61,00%","57,00%","60,00%","63,00%","59,00%","60,00%","61,00%","61,00%",X,"57,75%",X,"64,00%","59,00%","65,50%","60,00%","61,00%",X,"60,00%","62,00%","58,00%",X,"70,50%","58,50%","60,00%","59,00%","59,00%","59,00%",X,"67,50%","64,50%","59,00%","65,50%","60,00%","60,50%","59,00%","62,00%","65,50%",X,"60,00%","59,00%",X,"60,00%","64,00%","56,50%","59,50%","63,50%","61,00%","60,00%","59,50%",X,X,"59,00%","57,00%","58,50%","60,50%",X,"67,00%","70,50%","57,00%",X,"64,75%","58,50%","60,50%"
17 ans,"56,00%",X,"62,00%","59,00%","60,00%","66,00%","60,00%","56,00%","59,00%","62,00%","58,00%","59,00%","60,00%","60,00%",X,"56,50%",X,"63,00%","58,00%","64,50%","59,00%","60,00%",X,"59,00%","61,00%","57,50%",X,"70,00%","57,25%","59,00%","58,00%","58,00%","58,00%",X,"66,50%","63,50%","58,00%","64,50%","59,50%","59,50%","58,00%","61,00%","64,50%",X,"59,00%","58,00%",X,"59,50%","63,50%","56,00%","59,00%","62,50%","60,00%","59,00%","59,00%",X,X,"58,00%","56,00%","57,50%","59,50%",X,"66,00%","70,00%","56,00%",X,"63,50%","57,50%","59,50%"
18 ans,"55,00%",X,"61,00%","58,00%","59,00%","65,00%","59,00%","55,00%","58,00%","61,00%","57,00%","58,00%","59,00%","59,00%",X,"55,50%",X,"62,00%","57,00%","63,50%","58,00%","59,00%",X,"58,00%","60,00%","57,00%",X,"69,50%","56,25%","58,00%","57,00%","57,00%","57,00%",X,"65,50%","62,50%","57,00%","63,50%","59,00%","58,50%","57,00%","60,00%","63,50%",X,"58,00%","57,00%",X,"59,00%","63,00%","55,50%","58,50%","61,50%","59,50%","58,00%","58,50%",X,X,"57,00%","55,00%","56,50%","58,50%",X,"65,00%","69,50%","55,00%",X,"62,50%","56,50%","58,50%"
19 ans,"54,00%",X,"60,00%","57,00%","58,00%","64,50%","58,00%","54,50%","57,00%","60,00%","56,00%","57,00%","58,00%","58,00%",X,"54,50%",X,"61,50%","56,00%","63,00%","57,00%","58,25%",X,"57,00%","59,00%","56,50%",X,"69,00%","55,25%","57,00%","56,00%","56,00%","56,00%",X,"64,50%","61,50%","56,00%","62,50%","58,50%","57,50%","56,50%","59,00%","63,00%",X,"57,00%","56,50%",X,"58,50%","62,50%","55,00%","58,00%","61,00%","59,00%","57,00%","58,00%",X,X,"56,50%","54,00%","56,00%","57,50%",X,"64,50%","69,00%","54,00%",X,"61,50%","55,50%","57,50%"
20 ans,"53,00%","59,00%","59,00%","56,00%","57,50%","64,00%","57,50%","54,00%","56,00%","59,00%","55,00%","56,00%","57,50%","57,50%",X,"54,00%",X,"61,00%","55,00%","62,50%","56,00%","57,50%",X,"56,00%","58,00%","56,00%",X,"68,00%","54,25%","56,00%","55,00%","55,00%","55,00%",X,"63,50%","60,50%","55,00%","61,50%","58,00%","56,50%","56,00%","58,00%","62,50%",X,"56,00%","56,00%",X,"58,00%","62,00%","54,50%","57,50%","60,50%","58,50%","56,00%","57,50%",X,"50,00%","56,00%","53,00%","55,50%","56,50%",X,"64,00%","68,00%","53,00%",X,"60,50%","54,50%","56,50%"